"","Country","Q1_2020_cases","Q2_2020_cases","Q3_2020_cases","Q1rate100kcases","Q2rate100kcases","Q3rate100kcases","Q1_2020_deaths","Q2_2020_deaths","Q3_2020_deaths","Q1rate100kdeaths","Q2rate100kdeaths","Q3rate100kdeaths","Population2018","Density2018","Urban2018"
"26","Bulgaria",399,4989,20833,5.6796853881339,71.017419552381,296.553598223041,8,230,825,0.113878403772108,3.27400410844811,11.7437103889987,7025037,64.7110998526161,75.008
"27","Burkina Faso",261,962,2056,1.3214162848609,4.87050753270569,10.4093175543065,14,53,58,0.0708805670040328,0.268333575086696,0.293648063302422,19751535,72.1912828947368,29.358
"28","Burundi",2,170,508,0.0178964863649355,1.52120134101952,4.54570753669361,0,1,1,0,0.00894824318246774,0.00894824318246774,11175378,435.178271028037,13.032
"29","Cabo Verde",6,1227,6024,1.10341377832785,225.648117668045,1107.82743344116,1,15,60,0.183902296387975,2.75853444581963,11.0341377832785,543767,134.929776674938,65.732
"30","Cambodia",109,141,277,0.670777569050397,0.867703093909229,1.70463657455927,0,0,0,0,0,0,16249798,92.0564128710628,23.388
"31","Cameroon",193,12592,20838,0.765379862189588,49.9360788844109,82.6372309238686,6,313,418,0.0237941926069302,1.24126371432819,1.65766208494947,25216237,53.3439889149796,56.374
"32","Canada",8527,106097,161107,23.0100223259552,286.301669838966,434.745592455454,101,8650,9346,0.272547467447106,23.3419365684898,25.2200854530758,37057765,4.07518823864492,81.411
"33","Central African Republic",3,3745,4829,0.0642897048395361,80.2549815413542,103.48499489004,0,47,62,0,1.0072053758194,1.32865390001708,4666377,7.49041221227006,41.364
"34","Chad",7,866,1200,0.0452262088981791,5.5951281294033,7.75306438254498,0,74,85,0,0.478105636923607,0.549175393763603,15477751,12.2917336404066,23.059
"35","Chile",2844,279393,462991,15.1848774851622,1491.75403488464,2472.03291551783,12,5688,12741,0.0640712130175619,30.3697549703244,68.0276104213964,18729160,25.1894460666519,87.564
"36","China",82279,84785,90545,5.90774952790562,6.08768390140228,6.50126011502588,3309,4641,4739,0.237590918555642,0.333230417956101,0.34026695770178,1392730000,148.348833270666,59.152
"37","Colombia",906,97846,829679,1.82482174502708,197.076720158852,1671.0996474529,16,3334,25998,0.0322264325832598,6.71518288953675,52.3639246437242,49648685,44.7487021180712,80.778
"38","Comoros",0,303,479,0,36.4041801129851,57.5498424888445,0,7,7,0,0.841020662676224,0.841020662676224,832322,447.244477540227,28.965
"39","Congo (Brazzaville)",19,1087,5089,0.362293761892531,20.727016798799,97.0375239090048,0,37,89,0,0.705519431053876,1.69706025307554,5244363,15.3568462664715,66.916
"40","Congo (Kinshasa)",98,7039,10659,0.116572172431036,8.37297471165368,12.6790080198205,8,170,272,0.00951609570865598,0.202217033808939,0.323547254094303,84068091,37.0825923557045,44.46
"41","Costa Rica",347,3459,75760,6.94077597875442,69.1877351887941,1515.36941830097,2,16,904,0.0400044725000255,0.320035780000204,18.0820215700115,4999441,97.9130630630631,79.34
"42","Cote d'Ivoire",179,9499,19724,0.714022756742938,37.8910735547551,78.6781276759648,1,68,120,0.00398895394828457,0.271248868483351,0.478674473794148,25069229,78.8340534591195,50.779
"43","Croatia",867,2777,16593,21.2092294151219,67.9331373538563,405.910892370377,6,107,280,0.146776674153092,2.61751735573015,6.84957812714432,4087843,73.0493745532523,56.947
"44","Cuba",186,2341,5597,1.64048100314179,20.6471291847039,49.3643665300246,6,86,122,0.0529187420368318,0.758501969194589,1.07601442141558,11338138,108.999596231494,77.037
"45","Cyprus",262,998,1755,22.0304137429421,83.9173775399091,147.570137858257,8,19,22,0.672684389097468,1.59762542410649,1.84988207001804,1189265,128.708333333333,66.81
"46","Czechia",3308,11954,70763,31.1196839715189,112.456076842665,665.695948269828,31,349,655,0.291629444714959,3.2831831034039,6.16184794478382,10629928,137.657705257705,73.792
"47","Denmark",3039,12968,28479,52.4541065403488,223.831804414361,491.55659761849,90,605,650,1.5534286240972,10.4424924175423,11.2192067295909,5793636,137.976565849012,87.874
"48","Djibouti",30,4682,5416,3.1285195845326,488.257623159388,564.802068994285,0,54,61,0,5.63133525215868,6.36132315521628,958920,41.3684210526316,77.777
"49","Dominica",12,18,30,16.7539267015707,25.130890052356,41.8848167539267,0,0,0,0,0,0,71625,95.5,70.483
"50","Dominican Republic",1109,32568,112209,10.4355206680239,306.459907228315,1055.86955693263,51,747,2105,0.479902212866743,7.02915594140112,19.807728589892,10627165,219.97857586421,81.074
"51","Ecuador",2240,56432,137047,13.1114094607131,330.313865485251,802.178273376048,75,4527,11355,0.43899808462209,26.4979243877894,66.4643100117845,17084357,68.7886817522951,63.821
"52","Egypt",710,68311,103198,0.721371740180797,69.4051055542119,104.850874427011,46,2953,5930,0.0467367606314319,3.00029682923084,6.02497805531285,98423595,98.8734692852479,42.704
"53","El Salvador",32,6438,29077,0.498384610879985,100.268753901417,452.860291579917,1,174,843,0.0155745190899995,2.70996632165992,13.1293195928696,6420744,309.881467181467,72.023
"54","Equatorial Guinea",12,2001,5030,0.916748537404104,152.867818612134,384.27042859522,0,32,83,0,2.44466276641094,6.34084405037839,1308974,46.6657397504456,72.143
"55","Eritrea",15,203,375,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"56","Estonia",745,1989,3371,56.3549895346137,150.45647541523,254.99687210897,4,69,64,0.30257712501806,5.21945540656154,4.84123400028896,1321977,30.4112491373361,68.88
"57","Eswatini",9,812,5482,0.792120338921889,71.4668572449526,482.489299774422,0,11,109,0,0.968147080904531,9.59345743805399,1136191,66.0576162790698,23.799
"58","Ethiopia",26,5846,75368,0.0238041702690692,5.35227613049919,69.0027963399697,0,103,1198,0,0.0943011360659282,1.09682292239788,109224559,109.224559,20.763
"59","Fiji",5,18,32,0.565941846079664,2.03739064588679,3.62202781490985,0,0,2,0,0,0.226376738431866,883483,48.3570333880679,56.248
"60","Finland",1418,7214,9992,25.7092479863658,130.794439332611,181.161358166267,17,328,344,0.308220885591127,5.94685002787586,6.2369402731381,5515525,18.1485472672831,85.382
